uuid,submitTime,maptype,colour,legend,inputChanges,submitVal,rangeMin,rangeMax,correctVal,percept_error,percept_error_abs,acceptance,prog
9634614d-fc94-40d8-992a-b1370601a9f9,8802.8900000063,16,blue,clustered,8,76.1,56.5,76.1,97.97421113,-21.874211130000006,21.874211130000006,3,1
9634614d-fc94-40d8-992a-b1370601a9f9,5815.440000005765,15,red,checkered,3,25,23.7,25.4,24.12237956,0.8776204400000012,0.8776204400000012,2,2
9634614d-fc94-40d8-992a-b1370601a9f9,3450.9149999939837,13,green,sampled,1,13.8,13.8,13.8,14.06232146,-0.262321459999999,0.262321459999999,NA,3
9634614d-fc94-40d8-992a-b1370601a9f9,5375,14,blue,annotated,3,29.8,29.8,62.3,15.47172629,14.328273710000001,14.328273710000001,3,4
9634614d-fc94-40d8-992a-b1370601a9f9,4649.525000000722,3,red,headline,3,25.9,25.9,57.6,13.51967952,12.380320479999998,12.380320479999998,1,5
9634614d-fc94-40d8-992a-b1370601a9f9,3505.090000006021,5,green,checkered,2,11.6,11.6,14.5,24.58655029,-12.986550290000002,12.986550290000002,2,6
9634614d-fc94-40d8-992a-b1370601a9f9,3934.5500000054017,19,blue,clustered,1,17.3,17.3,17.3,18.640324,-1.340323999999999,1.340323999999999,3,7
9634614d-fc94-40d8-992a-b1370601a9f9,4193.339999997988,11,green,annotated,1,38.5,38.5,38.5,31.60906458,6.890935420000002,6.890935420000002,3,8
9634614d-fc94-40d8-992a-b1370601a9f9,3873.760000002221,17,red,headline,1,16.7,16.7,16.7,61.08473782,-44.38473782,44.38473782,1,9
9634614d-fc94-40d8-992a-b1370601a9f9,3944.835000002058,12,red,sampled,2,27.9,27.5,27.9,40.9402167,-13.040216700000002,13.040216700000002,NA,10
4ce06022-718b-43a0-9590-94b2697fcdd7,4252.260000008391,14,red,headline,1,22.2,22.2,22.2,15.47172629,6.72827371,6.72827371,2,1
4ce06022-718b-43a0-9590-94b2697fcdd7,4169.949999995879,10,red,sampled,3,44.2,38.8,44.2,76.14880384,-31.948803839999997,31.948803839999997,2,2
4ce06022-718b-43a0-9590-94b2697fcdd7,3029.339999993681,6,red,checkered,2,56.1,46.1,56.1,41.97796026,14.122039739999998,14.122039739999998,2,3
